Month,Electricity (kWh),Natural Gas (Therms),Other Fuels (MBtu),Total Fossil Fuel (MBtu),Fuel Percent Change,Total Energy (MBtu),Energy Percent Change,Water (ccf),Sewer (ccf),Refuse (Cu Yds)
1/1/13 0:00,1466412,64152,3831,10246,-6.1,15250,-2.7,1578,1561,63
2/1/13 0:00,1292195,47279,2624,7352,-16.4,11761,-10.9,1256,1240,59
3/1/13 0:00,1445693,57402,2744,8484,3.5,13416,3.5,1339,1302,67
4/1/13 0:00,1341944,42723,2303,6575,29.7,11154,16.3,1019,961,35
5/1/13 0:00,1317986,26592,2232,4891,-9.1,9388,-6.4,2176,1610,104
6/1/13 0:00,1308943,20963,3090,5187,22.8,9653,10.6,3643,2582,58
7/1/13 0:00,1444089,19297,5099,7029,12.7,11956,8.8,4713,3513,100
8/1/13 0:00,1511683,18751,7717,9592,52.6,14750,29.6,4789,3572,66
9/1/13 0:00,1379183,20593,2953,5012,20.1,9718,7.3,3105,2418,70
10/1/13 0:00,1337244,35325,1891,5423,-0.1,9986,-1.5,2034,1902,75
11/1/13 0:00,1387310,45523,3116,7668,11.3,12401,6.3,1930,1865,64
12/1/13 0:00,1456800,79215,4647,12569,30.8,17539,18.9,1837,1829,80
1/1/14 0:00,1397800,51878,3655,8843,-13.7,13612,-10.7,1638,1632,48
2/1/14 0:00,1271491,63098,4206,10515,43,14854,26.3,1582,1577,30
3/1/14 0:00,1387181,48665,3300,8166,-3.7,12899,-3.9,1926,1850,10
4/1/14 0:00,1275659,30079,1942,4950,-24.7,9302,-16.6,1904,1700,5
5/1/14 0:00,1337613,23630,3484,5847,19.6,10411,10.9,3281,2385,9
6/1/14 0:00,1309762,20228,2638,4661,-10.1,9130,-5.4,4027,2785,65
7/1/14 0:00,1447257,18574,4484,6342,-9.8,11280,-5.7,4496,3189,62
8/1/14 0:00,1447706,18758,4665,6541,-31.8,11481,-22.2,4828,3987,57
9/1/14 0:00,1283443,12578,3438,4696,-6.3,9075,-6.6,3580,3301,26
10/1/14 0:00,1355665,26005,2643,5243,-3.3,9869,-1.2,2359,2042,54
11/1/14 0:00,1444403,59794,2736,8715,13.7,13643,10,2252,2025,78
12/1/14 0:00,1487333,55365,3529,9066,-27.9,14141,-19.4,1696,1452,84
1/1/15 0:00,1380676,47799,3434,8214,-7.1,12925,-5.1,1314,1153,53
2/1/15 0:00,1231653,38831,3810,7693,-26.8,11895,-19.9,1468,1313,56
3/1/15 0:00,1419157,39980,2782,6780,-17,11622,-9.9,2475,2047,74
4/1/15 0:00,1313844,34570,2228,5685,14.9,10168,9.3,2963,2501,57
5/1/15 0:00,1324785,33175,3278,6595,12.8,11115,6.8,4705,3435,207
6/1/15 0:00,1360428,16287,4562,6190,32.8,10832,18.6,5978,4022,72
7/1/15 0:00,1569220,18888,6413,8302,30.9,13656,21.1,6771,4990,119
8/1/15 0:00,1576896,26784,4313,6992,6.9,12372,7.8,5936,4555,95
9/1/15 0:00,1285982,17716,3422,5193,10.6,9581,5.6,3342,2701,86
10/1/15 0:00,1301320,24222,3071,5493,4.8,9933,0.6,2439,2341,59
11/1/15 0:00,1409404,25978,3426,6024,-30.9,10833,-20.6,2225,2185,55
12/1/15 0:00,1481912,59298,3914,9844,8.6,14900,5.4,2233,2227,67
