District Code,District Name,School Code,School Name,GradeSpan,Percent Unexcused Absences
14005,Aberdeen School District,2834,A J West Elementary,PK-6      ,1.03%
14005,Aberdeen School District,3216,Central Park Elementary,K-6       ,0.02%
14005,Aberdeen School District,2449,McDermoth Elementary,K-6       ,0.73%
14005,Aberdeen School District,2305,Miller Junior High,7-8       ,1.25%
14005,Aberdeen School District,2763,Robert Gray Elementary,PK-6      ,0.84%
14005,Aberdeen School District,2971,Stevens Elementary School,PK-6      ,0.44%
21226,Adna School District,2441,Adna Middle/High School,6-12      ,0%
22017,Almira School District,2860,Almira Elementary School,K-8       ,0.18%
29103,Anacortes School District,2707,Anacortes Middle School,6-8       ,0.53%
29103,Anacortes School District,3252,Island View Elementary,K-5       ,0.29%
29103,Anacortes School District,3057,Mount Erie Elementary,K-5       ,0.53%
31016,Arlington School District,4327,Eagle Creek Elementary,K-5       ,0.07%
31016,Arlington School District,5010,Haller Middle School,6-8       ,0.74%
31016,Arlington School District,4436,Kent Prairie Elementary,K-5       ,0.01%
31016,Arlington School District,4573,Pioneer Elementary,K-5       ,0.03%
31016,Arlington School District,3124,Post Middle School,6-8       ,0.4%
31016,Arlington School District,4154,Presidents Elementary,PK-5      ,0.03%
02420,Asotin-Anatone School District,2507,Asotin Elementary,PK-5      ,0.14%
02420,Asotin-Anatone School District,2434,Asotin Jr Sr High,6-12      ,0.11%
17408,Auburn School District,3825,Alpac Elementary School,PK-5      ,0.1%
17408,Auburn School District,5082,Arthur Jacobsen Elementary,K-5       ,0.07%
17408,Auburn School District,2394,Cascade Middle School,6-8       ,1.8%
17408,Auburn School District,3439,Chinook Elementary School,PK-5      ,0.56%
17408,Auburn School District,2932,Dick Scobee Elementary School,PK-5      ,0.69%
17408,Auburn School District,3745,Evergreen Heights Elementary,K-5       ,0.75%
17408,Auburn School District,3669,Gildo Rey Elementary School,PK-5      ,1.16%
17408,Auburn School District,4347,Hazelwood Elementary School,K-5       ,0.34%
17408,Auburn School District,4417,Ilalko Elementary School,K-5       ,0.63%
17408,Auburn School District,4120,Lake View Elementary School,PK-5      ,0.12%
17408,Auburn School District,5051,Lakeland Hills Elementary,K-5       ,0.28%
17408,Auburn School District,3525,Lea Hill Elementary School,PK-5      ,0.34%
17408,Auburn School District,4462,Mt Baker Middle School,6-8       ,0.5%
17408,Auburn School District,3169,Olympic Middle School,6-8       ,0.82%
17408,Auburn School District,3227,Pioneer Elementary School,PK-5      ,0.4%
17408,Auburn School District,4385,Rainier Middle School,6-8       ,1.29%
17408,Auburn School District,2659,Terminal Park Elementary School,K-5       ,0.27%
17408,Auburn School District,2326,Washington Elementary School,K-5       ,0.77%
18303,Bainbridge Island School District,1699,Odyssey Multiage Program,1-8       ,0.02%
18303,Bainbridge Island School District,4542,Sakai Intermediate,5-6       ,0.03%
18303,Bainbridge Island School District,4505,Woodward Middle School,7-8       ,0.53%
06119,Battle Ground School District,2671,Amboy Middle School,5-8       ,1.6%
06119,Battle Ground School District,1836,CAM Academy,3-12      ,0.02%
06119,Battle Ground School District,4352,Captain Strong,PK-4      ,0.53%
06119,Battle Ground School District,5133,Chief Umtuch Middle,5-8       ,0.71%
06119,Battle Ground School District,5089,Daybreak Middle,5-8       ,0.15%
06119,Battle Ground School District,5090,Daybreak Primary,PK-4      ,0%
06119,Battle Ground School District,5502,DB Youth Services,6-12      ,0.44%
06119,Battle Ground School District,3018,Glenwood Heights Primary,PK-4      ,0.93%
06119,Battle Ground School District,1875,Homelink River,K-12      ,1.12%
06119,Battle Ground School District,3545,Laurin Middle School,5-8       ,0.32%
06119,Battle Ground School District,5291,Maple Grove K-8,PK-8      ,0.62%
06119,Battle Ground School District,3997,Pleasant Valley Middle,5-8       ,0.59%
06119,Battle Ground School District,3996,Pleasant Valley Primary,PK-4      ,1.23%
06119,Battle Ground School District,5131,Tukes Valley Middle School,5-8       ,0.43%
06119,Battle Ground School District,5132,Tukes Valley Primary ,PK-4      ,0.08%
06119,Battle Ground School District,2910,Yacolt Primary,PK-4      ,0.49%
17405,Bellevue School District,3633,Ardmore Elementary School,PK-5      ,0.64%
17405,Bellevue School District,5240,Bellevue Big Picture School,6-12      ,0.18%
17405,Bellevue School District,3705,Bennett Elementary School,PK-5      ,0.03%
17405,Bellevue School District,3742,Cherry Crest Elementary School,PK-5      ,0.4%
17405,Bellevue School District,3338,Chinook Middle School,6-8       ,0.15%
17405,Bellevue School District,2847,Clyde Hill Elementary,PK-5      ,0.36%
17405,Bellevue School District,3036,Eastgate Elementary School,PK-5      ,0.14%
17405,Bellevue School District,2846,Enatai Elementary School,PK-5      ,0.5%
17405,Bellevue School District,3166,Highland Middle School,6-8       ,0.2%
17405,Bellevue School District,3522,International School,6-12      ,0.15%
17405,Bellevue School District,5308,Jing Mei Elementary School,PK-5      ,0.17%
17405,Bellevue School District,3225,Lake Hills Elementary,PK-5      ,0.6%
17405,Bellevue School District,3436,Medina Elementary School,PK-5      ,0.25%
17405,Bellevue School District,3437,Newport Heights Elementary,K-5       ,0.43%
17405,Bellevue School District,3631,Odle Middle School,6-8       ,0.01%
17405,Bellevue School District,3168,Phantom Lake Elementary,PK-5      ,0.38%
17405,Bellevue School District,3224,Puesta del Sol Elementary School,PK-5      ,0.4%
17405,Bellevue School District,3339,Sherwood Forest Elementary,PK-5      ,0.28%
17405,Bellevue School District,3789,Somerset Elementary School,K-5       ,0.26%
17405,Bellevue School District,3634,Spiritridge Elementary School,K-5       ,0.18%
17405,Bellevue School District,3100,Stevenson Elementary,PK-5      ,0.3%
17405,Bellevue School District,3435,Tillicum Middle School,6-8       ,0%
17405,Bellevue School District,3283,Tyee Middle School,6-8       ,0.1%
17405,Bellevue School District,3167,Woodridge Elementary,K-5       ,0.19%
37501,Bellingham School District,3200,Alderwood Elementary School,PK-5      ,0.53%
37501,Bellingham School District,2431,Birchwood Elementary School,PK-5      ,0.15%
37501,Bellingham School District,2817,Carl Cozier Elementary School,PK-5      ,0.83%
37501,Bellingham School District,2365,Columbia Elementary School,PK-5      ,0.15%
37501,Bellingham School District,5239,Cordata Elementary School,PK-5      ,1.15%
37501,Bellingham School District,2066,Fairhaven Middle School,6-8       ,0.38%
37501,Bellingham School District,2262,Geneva Elementary School,PK-5      ,0.43%
37501,Bellingham School District,3134,Happy Valley Elementary School,PK-5      ,0.25%
37501,Bellingham School District,4442,Kulshan Middle School,6-8       ,0.56%
37501,Bellingham School District,2225,Lowell Elementary School ,PK-5      ,0.02%
37501,Bellingham School District,4571,Northern Heights Elementary Schl,PK-5      ,0.25%
37501,Bellingham School District,3202,Parkview Elementary School,PK-5      ,0.4%
37501,Bellingham School District,2067,Roosevelt Elementary School,PK-5      ,0.24%
37501,Bellingham School District,3201,Shuksan Middle School,6-8       ,1.56%
37501,Bellingham School District,2175,Silver Beach Elementary School,PK-5      ,0.21%
37501,Bellingham School District,2387,Sunnyland Elementary School,PK-5      ,0.05%
37501,Bellingham School District,5125,Wade King Elementary School,PK-5      ,0.18%
37501,Bellingham School District,2075,Whatcom Middle School,6-8       ,0.43%
27403,Bethel School District,5471,Bethel Elementary Learning Academy,K-5       ,0.68%
27403,Bethel School District,3250,Bethel Middle School,6-8       ,1.65%
27403,Bethel School District,4296,Camas Prairie Elementary,K-5       ,0.43%
27403,Bethel School District,4186,Cedarcrest Middle School,6-8       ,2.48%
27403,Bethel School District,4331,Centennial Elementary Bethel,K-5       ,0.16%
27403,Bethel School District,3649,Chester H Thompson Elementary,K-5       ,1.36%
27403,Bethel School District,2576,Clover Creek Elementary,K-5       ,1.25%
27403,Bethel School District,4578,Cougar Mountain Middle School,6-8       ,1.72%
27403,Bethel School District,2877,Elk Plain School of Choice,K-8       ,0.87%
27403,Bethel School District,4099,Evergreen Elementary,K-5       ,1.05%
27403,Bethel School District,5159,Frederickson Elementary,K-5       ,0.8%
27403,Bethel School District,4407,Frontier Middle School,6-8       ,1.32%
27403,Bethel School District,4297,Graham Elementary,K-5       ,1.16%
27403,Bethel School District,2748,Kapowsin Elementary,K-5       ,0.44%
27403,Bethel School District,5206,Liberty Middle School,6-8       ,1.04%
27403,Bethel School District,4102,Naches Trail Elementary,K-5       ,0.45%
27403,Bethel School District,5160,Nelson Elementary School,K-5       ,0.5%
27403,Bethel School District,4538,North Star Elementary,K-5       ,1.06%
27403,Bethel School District,4381,Pioneer Valley Elementary,K-5       ,1.34%
27403,Bethel School District,4227,Rocky Ridge Elementary,K-5       ,1.64%
27403,Bethel School District,2543,Roy Elementary,K-5       ,1.26%
27403,Bethel School District,4103,Shining Mountain Elementary,K-5       ,0.94%
27403,Bethel School District,2399,Spanaway Elementary,K-5       ,0.91%
27403,Bethel School District,3751,Spanaway Middle School,6-8       ,0.99%
20203,Bickleton School District,3392,Bickleton Elementary & High Schl,K-12      ,0.33%
37503,Blaine School District,2713,Blaine Elementary School,3-5       ,0.23%
37503,Blaine School District,3796,Blaine Middle School,6-8       ,0.18%
37503,Blaine School District,4476,Blaine Primary School,K-2       ,0.22%
21234,Boistfort School District,2516,Boistfort Elem,PK-8      ,0.62%
18100,Bremerton School District,3641,Armin Jahr Elementary,K-5       ,0.26%
18100,Bremerton School District,3108,Crownhill Elementary School,PK-5      ,0.14%
18100,Bremerton School District,4421,Kitsap Lake Elementary,K-5       ,0.1%
18100,Bremerton School District,4441,Mountain View Middle School,6-8       ,0.81%
18100,Bremerton School District,3171,Naval Avenue Elementary School,PK-3      ,0.11%
18100,Bremerton School District,2853,View Ridge Elementary Arts Academy,PK-5      ,0.49%
18100,Bremerton School District,2613,West Hills S.T.E.M. Academy,PK-8      ,1.01%
24111,Brewster School District,3293,Brewster Elementary School,PK-5      ,0.99%
29100,Burlington-Edison School District,3603,Allen Elementary,K-8       ,0.29%
29100,Burlington-Edison School District,4412,Bay View Elementary,K-8       ,0.14%
29100,Burlington-Edison School District,2379,Edison Elementary - Burlington/Edison,K-8       ,0.02%
29100,Burlington-Edison School District,3251,Lucille Umbarger Elementary,1-8       ,1.81%
29100,Burlington-Edison School District,2946,West View Elementary,K-6       ,0.27%
06117,Camas School District,4182,Dorothy Fox,K-5       ,0.1%
06117,Camas School District,5158,Grass Valley Elementary,K-5       ,0.09%
06117,Camas School District,2725,Helen Baller Elem,K-5       ,0.01%
06117,Camas School District,3474,Lacamas Heights Elementary,K-5       ,0.08%
06117,Camas School District,5054,Liberty Middle School,6-8       ,0.24%
